Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,171.27,172.39,169.55,170.72,170.72,13210900
2017-09-06,170.91,172.48,169.57,172.09,172.09,13906300
2017-09-07,171.94,173.31,170.27,173.21,173.21,18049500
2017-09-08,173.09,173.49,170.8,170.95,170.95,10998500
2017-09-11,172.4,173.89,172.2,173.51,173.51,12372000
2017-09-12,173.76,174.0,171.75,172.96,172.96,11186300
2017-09-13,173.01,173.17,172.06,173.05,173.05,9119300
2017-09-14,172.26,172.28,170.5,170.96,170.96,15615700
2017-09-15,170.88,172.34,170.26,171.64,171.64,15660500
2017-09-18,171.99,172.07,169.34,170.01,170.01,12954000
2017-09-19,170.62,172.56,170.36,172.52,172.52,13168600
2017-09-20,172.5,173.05,170.7,172.17,172.17,12264100
2017-09-21,171.69,172.27,170.01,171.11,171.11,11161400
2017-09-22,170.21,171.73,169.22,170.54,170.54,12097100
2017-09-25,169.24,169.3,161.56,162.87,162.87,41251600
2017-09-26,164.5,165.5,162.78,164.21,164.21,23363300
2017-09-27,165.9,168.34,165.57,167.68,167.68,19242500
2017-09-28,167.94,169.07,167.16,168.73,168.73,12178700
2017-09-29,168.83,171.66,168.81,170.87,170.87,15340400
2017-10-02,171.39,171.87,168.75,169.47,169.47,13392300
2017-10-03,169.3,170.73,169.2,169.96,169.96,8190300
2017-10-04,169.83,170.67,168.29,168.42,168.42,12127900
2017-10-05,169.18,171.31,168.6,171.24,171.24,14580600
2017-10-06,170.25,172.37,169.75,172.23,172.23,13124500
2017-10-09,172.7,174.88,172.0,172.5,172.5,14570400
2017-10-10,173.0,173.2,170.8,171.59,171.59,11341100
2017-10-11,171.95,172.78,171.4,172.74,172.74,11283700
2017-10-12,172.61,173.85,172.29,172.55,172.55,10351000
2017-10-13,173.45,174.65,173.2,173.74,173.74,13658300
2017-10-16,174.49,175.0,174.06,174.52,174.52,11498800
2017-10-17,174.71,176.13,174.36,176.11,176.11,15990100
2017-10-18,176.65,176.74,175.75,176.03,176.03,12752400
2017-10-19,174.93,176.03,172.63,174.56,174.56,14048400
2017-10-20,175.5,175.88,174.63,174.98,174.98,12602200
2017-10-23,175.2,175.34,171.25,171.27,171.27,13852700
2017-10-24,172.3,173.24,171.5,171.8,171.8,12267900
2017-10-25,171.9,172.25,168.89,170.6,170.6,15868200
2017-10-26,171.38,172.29,170.39,170.63,170.63,11833100
2017-10-27,174.15,178.21,173.9,177.88,177.88,30285300
2017-10-30,179.26,180.69,177.61,179.87,179.87,24353200
2017-10-31,180.57,180.8,178.94,180.06,180.06,20174200
2017-11-01,182.36,182.9,180.57,182.66,182.66,40918300
2017-11-02,180.63,181.94,177.34,178.92,178.92,35529900
2017-11-03,179.29,179.86,176.71,178.92,178.92,17822100
2017-11-06,178.56,180.45,178.31,180.17,180.17,13312700
2017-11-07,180.5,180.75,178.96,180.25,180.25,12928200
2017-11-08,179.79,180.35,179.11,179.56,179.56,10494100
2017-11-09,178.31,179.4,177.09,179.3,179.3,12610300
2017-11-10,178.35,179.1,177.96,178.46,178.46,11070200
2017-11-13,177.5,179.04,177.3,178.77,178.77,9523400
2017-11-14,178.13,178.97,177.18,178.07,178.07,9585900
2017-11-15,176.66,178.57,176.4,177.95,177.95,10253700
2017-11-16,178.76,179.83,178.5,179.59,179.59,15607600
2017-11-17,179.3,179.98,178.9,179.0,179.0,13018000
2017-11-20,178.87,179.5,178.1,178.74,178.74,10052400
2017-11-21,179.15,181.89,178.99,181.86,181.86,14504000
2017-11-22,181.3,181.73,180.44,180.87,180.87,10376300
2017-11-24,180.4,183.15,180.29,182.78,182.78,9426300
2017-11-27,182.56,183.73,181.99,183.03,183.03,12344500
2017-11-28,183.51,184.25,182.09,182.42,182.42,14379700
2017-11-29,181.89,181.97,174.0,175.13,175.13,41933500
2017-11-30,176.85,178.28,175.2,177.18,177.18,25307600
2017-12-01,176.03,177.48,172.34,175.1,175.1,20182500
2017-12-04,176.29,176.57,170.79,171.47,171.47,24459400
2017-12-05,170.45,175.38,169.01,172.83,172.83,20184900
2017-12-06,172.5,176.77,171.9,176.06,176.06,20255800
2017-12-07,175.8,180.39,175.8,180.14,180.14,20404500
2017-12-08,181.53,182.28,178.74,179.0,179.0,19883800
2017-12-11,179.3,180.22,178.8,179.04,179.04,13168600
2017-12-12,178.6,179.18,176.6,176.96,176.96,16854100
2017-12-13,177.3,179.16,177.25,178.3,178.3,14615700
2017-12-14,178.29,180.36,177.68,178.39,178.39,13591000
2017-12-15,179.02,180.49,178.36,180.18,180.18,28463100
2017-12-18,181.01,181.3,179.75,180.82,180.82,17265400
