Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,223.85,224.0,217.3,217.78,211.01,5646200.0
2017-09-06,218.98,221.02,217.61,218.83,212.02,3613600.0
2017-09-07,218.73,218.81,214.64,215.84,209.13,3594600.0
2017-09-08,215.51,219.28,215.4,217.21,210.45,3120900.0
2017-09-11,220.07,221.89,218.99,221.06,214.18,2971500.0
2017-09-12,222.54,227.69,222.02,225.95,218.92,3745800.0
2017-09-13,225.25,227.14,224.72,226.56,219.51,2383500.0
2017-09-14,226.1,228.1,226.05,226.85,219.79,1986600.0
2017-09-15,227.15,227.21,223.82,225.22,218.21,4365800.0
2017-09-18,226.3,229.0,225.66,227.53,220.45,2466800.0
2017-09-19,228.01,230.14,227.33,228.91,221.79,1858000.0
2017-09-20,229.5,231.65,228.5,229.79,222.64,2682300.0
2017-09-21,229.89,232.1,229.4,231.29,224.1,1800800.0
2017-09-22,230.64,231.49,228.88,231.03,223.84,1861800.0
2017-09-25,230.77,231.86,228.36,230.26,223.1,2261800.0
2017-09-26,230.86,231.44,229.03,229.94,222.79,1770000.0
2017-09-27,234.07,235.6,232.91,234.76,227.46,3072100.0
2017-09-28,235.0,236.2,233.5,235.47,228.15,2121800.0
2017-09-29,235.01,237.6,234.57,237.19,229.81,1902300.0
2017-10-02,237.2,241.1,237.1,240.65,233.16,2501300.0
2017-10-03,241.07,242.71,239.69,241.62,234.1,2010800.0
2017-10-04,241.62,242.88,240.12,240.31,232.83,1840400.0
2017-10-05,241.0,246.32,240.12,246.06,238.41,3521300.0
2017-10-06,246.3,247.08,244.61,246.02,238.37,2396100.0
2017-10-09,245.15,246.35,242.02,242.8,235.25,2165200.0
2017-10-10,242.8,243.73,241.7,242.6,235.05,2187100.0
2017-10-11,242.0,243.2,241.35,242.4,234.86,2175700.0
2017-10-12,242.33,243.42,238.75,239.8,232.34,2148200.0
2017-10-13,239.0,239.45,236.84,238.53,231.11,2491000.0
2017-10-16,238.6,242.76,238.35,242.41,234.87,2969200.0
2017-10-17,244.44,244.89,235.19,236.09,228.75,7088400.0
2017-10-18,236.87,242.65,236.87,242.03,234.5,4235900.0
2017-10-19,240.35,240.99,238.1,239.99,232.52,2710900.0
2017-10-20,242.95,245.25,240.67,244.73,237.12,3022800.0
2017-10-23,244.39,245.33,241.38,242.13,234.6,1963300.0
2017-10-24,243.6,246.25,243.0,244.84,237.22,2285300.0
2017-10-25,246.16,246.5,240.8,241.71,234.19,2904300.0
2017-10-26,242.61,244.0,241.53,241.72,234.2,1948800.0
2017-10-27,240.85,242.44,239.67,241.71,234.19,2111500.0
2017-10-30,240.1,242.59,239.53,240.89,233.4,1764400.0
2017-10-31,240.68,244.18,240.63,242.48,234.94,2658700.0
2017-11-01,243.89,247.4,242.91,244.26,236.66,2969600.0
2017-11-02,244.69,247.74,243.38,246.88,239.2,2509100.0
2017-11-03,245.37,246.28,243.19,244.4,236.8,1954600.0
2017-11-06,243.5,244.58,241.67,243.49,235.92,1744800.0
2017-11-07,243.91,244.98,238.84,239.81,232.35,2483900.0
2017-11-08,239.2,242.32,237.55,241.25,233.75,2349800.0
2017-11-09,239.51,242.37,237.84,240.79,233.3,2122400.0
2017-11-10,241.69,243.32,240.0,240.15,232.68,1845600.0
2017-11-13,237.97,240.9,237.16,240.27,232.8,1953900.0
2017-11-14,239.65,240.88,235.63,237.24,229.86,3000200.0
2017-11-15,234.97,238.15,233.55,237.61,230.22,2564100.0
2017-11-16,238.38,240.69,238.2,239.37,231.92,2304300.0
