Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,91.02,91.11,89.02,89.51,84.36,16897300.0
2017-09-06,90.0,90.52,89.64,90.11,84.93,11845700.0
2017-09-07,90.11,90.13,88.08,88.53,83.44,14592300.0
2017-09-08,88.31,89.42,88.24,88.42,83.34,14242200.0
2017-09-11,89.39,90.25,88.95,89.79,84.63,13219000.0
2017-09-12,90.17,91.25,90.1,90.89,85.66,14003800.0
2017-09-13,90.61,91.5,90.32,91.15,85.91,12485400.0
2017-09-14,91.2,91.53,90.74,90.97,85.74,10562800.0
2017-09-15,91.08,91.71,90.76,91.62,86.35,18171800.0
2017-09-18,91.93,93.14,91.85,92.92,87.58,11318700.0
2017-09-19,92.71,94.36,92.52,93.94,88.54,12626100.0
2017-09-20,94.1,95.29,93.71,94.6,89.16,15311600.0
2017-09-21,94.46,95.37,94.19,95.03,89.57,10851500.0
2017-09-22,94.7,94.98,94.43,94.83,89.38,8358300.0
2017-09-25,94.51,94.88,93.45,94.12,88.71,10463400.0
2017-09-26,93.78,94.03,93.34,93.7,88.31,9358100.0
2017-09-27,94.97,95.72,94.58,95.18,89.71,15090200.0
2017-09-28,95.59,95.88,94.91,95.38,89.9,10270400.0
2017-09-29,95.3,95.52,95.02,95.51,90.02,11438400.0
2017-10-02,95.77,96.88,95.46,96.84,91.27,13797200.0
2017-10-03,96.83,97.43,96.77,97.35,91.75,9633500.0
2017-10-04,97.3,97.44,96.28,96.36,90.82,12166600.0
2017-10-05,96.0,97.4,95.55,97.09,92.04,14236200.0
2017-10-06,97.55,97.64,96.47,96.92,91.88,10231900.0
2017-10-09,96.96,97.07,96.14,96.41,91.4,7765100.0
2017-10-10,96.46,97.18,96.24,97.13,92.08,10631500.0
2017-10-11,96.83,97.01,96.14,96.84,91.8,14283600.0
2017-10-12,97.3,97.5,95.62,95.99,91.0,18251600.0
2017-10-13,95.48,96.71,94.96,95.86,90.88,13190600.0
2017-10-16,96.34,97.95,96.34,97.84,92.75,12434000.0
2017-10-17,98.07,98.18,97.32,97.62,92.54,10335700.0
2017-10-18,98.15,98.55,97.63,97.99,92.89,10158600.0
2017-10-19,97.19,98.2,97.09,98.11,93.01,9133900.0
2017-10-20,99.28,99.89,98.73,99.51,94.34,15326600.0
2017-10-23,99.51,99.99,99.24,99.34,94.17,9238600.0
2017-10-24,99.88,101.19,99.76,100.92,95.67,13000800.0
2017-10-25,101.25,101.45,100.19,101.02,95.77,14632700.0
2017-10-26,101.35,102.42,101.32,101.74,96.45,13054400.0
2017-10-27,101.43,102.23,101.05,101.77,96.48,10400400.0
2017-10-30,101.13,101.93,100.87,101.41,96.14,8839500.0
2017-10-31,101.37,101.7,100.57,100.61,95.38,8690200.0
2017-11-01,101.1,101.7,100.73,100.92,95.67,8418200.0
2017-11-02,100.87,101.77,100.16,101.59,96.31,8731800.0
2017-11-03,101.1,101.53,100.73,101.41,96.14,7103500.0
2017-11-06,101.34,101.69,100.66,100.78,95.54,8121500.0
2017-11-07,100.56,100.75,98.25,98.75,93.62,18822600.0
2017-11-08,98.27,98.37,97.15,97.64,92.56,18524700.0
2017-11-09,97.12,98.22,96.81,97.63,92.55,13697800.0
2017-11-10,97.81,98.34,97.5,97.51,92.44,9314000.0
2017-11-13,96.69,98.05,96.62,97.86,92.77,9303100.0
2017-11-14,97.34,97.78,96.85,97.27,92.21,11043800.0
2017-11-15,96.39,98.74,95.95,98.19,93.08,15384100.0
2017-11-16,98.53,99.06,98.31,98.47,93.35,9808000.0
2017-11-17,97.82,98.41,97.57,98.14,93.04,9017900.0
2017-11-20,98.45,99.15,97.76,99.01,93.86,9483200.0
2017-11-21,99.5,99.55,98.91,98.93,93.79,13389400.0
2017-11-22,99.03,99.52,98.59,98.64,93.51,7342200.0
2017-11-24,98.83,98.9,98.26,98.32,93.21,3680000.0
