Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,73.34,73.89,72.98,73.61,71.19,21556000.0
2017-09-06,73.74,74.04,73.35,73.4,70.99,16535800.0
2017-09-07,73.68,74.6,73.6,74.34,71.89,17471200.0
2017-09-08,74.33,74.44,73.84,73.98,71.55,14703800.0
2017-09-11,74.31,74.94,74.31,74.76,72.3,17910400.0
2017-09-12,74.76,75.24,74.37,74.68,72.22,14394900.0
2017-09-13,74.93,75.23,74.55,75.21,72.74,13380800.0
2017-09-14,75.0,75.49,74.52,74.77,72.31,15733900.0
2017-09-15,74.83,75.39,74.07,75.31,72.83,38578400.0
2017-09-18,75.23,75.97,75.04,75.16,72.69,23307000.0
2017-09-19,75.21,75.71,75.01,75.44,72.96,16093300.0
2017-09-20,75.35,75.55,74.31,74.94,72.47,21587900.0
2017-09-21,75.11,75.24,74.11,74.21,71.77,19186100.0
2017-09-22,73.99,74.51,73.85,74.41,71.96,14111400.0
2017-09-25,74.09,74.25,72.92,73.26,70.85,24149200.0
2017-09-26,73.67,73.81,72.99,73.26,70.85,18019600.0
2017-09-27,73.55,74.17,73.17,73.85,71.42,19565100.0
2017-09-28,73.54,73.97,73.31,73.87,71.44,10883800.0
2017-09-29,73.94,74.54,73.88,74.49,72.04,17079100.0
2017-10-02,74.71,75.01,74.3,74.61,72.16,15304800.0
2017-10-03,74.67,74.88,74.19,74.26,71.82,12190400.0
2017-10-04,74.09,74.72,73.71,74.69,72.23,13317700.0
2017-10-05,75.22,76.12,74.96,75.97,73.47,21195300.0
2017-10-06,75.67,76.03,75.54,76.0,73.5,13959800.0
2017-10-09,75.97,76.55,75.86,76.29,73.78,11386500.0
2017-10-10,76.33,76.63,76.14,76.29,73.78,13944500.0
2017-10-11,76.36,76.46,75.95,76.42,73.91,15388900.0
2017-10-12,76.49,77.29,76.37,77.12,74.58,16876500.0
2017-10-13,77.59,77.87,77.29,77.49,74.94,15335700.0
2017-10-16,77.42,77.81,77.35,77.65,75.1,12380100.0
2017-10-17,77.47,77.62,77.25,77.59,75.04,16824000.0
2017-10-18,77.67,77.85,77.37,77.61,75.06,13300700.0
2017-10-19,77.57,77.93,77.35,77.91,75.35,15092800.0
2017-10-20,78.32,78.97,78.22,78.81,76.22,22866400.0
2017-10-23,78.99,79.34,78.76,78.83,76.24,20627200.0
2017-10-24,78.9,79.2,78.46,78.86,76.27,17517200.0
2017-10-25,78.58,79.1,78.01,78.63,76.04,20410800.0
2017-10-26,79.2,79.42,78.75,78.76,76.17,32120700.0
2017-10-27,84.37,86.2,83.61,83.81,81.05,71066700.0
2017-10-30,83.7,84.33,83.11,83.89,81.13,31756700.0
2017-10-31,84.36,84.36,83.11,83.18,80.44,27086600.0
