Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,353.8,355.49,345.89,349.59,349.59,3835100
2017-09-06,349.5,350.98,341.56,344.53,344.53,4091400
2017-09-07,345.98,352.48,343.45,350.61,350.61,4239200
2017-09-08,348.99,349.78,342.3,343.4,343.4,3263500
2017-09-11,351.35,363.71,350.0,363.69,363.69,7667100
2017-09-12,364.49,368.76,360.4,362.75,362.75,5972900
2017-09-13,363.82,368.07,359.59,366.23,366.23,4185200
2017-09-14,364.33,377.96,362.63,377.64,377.64,7202500
2017-09-15,374.51,380.0,372.7,379.81,379.81,5420500
2017-09-18,380.25,389.61,377.68,385.0,385.0,7188000
2017-09-19,380.0,382.39,373.57,375.1,375.1,6451900
2017-09-20,373.0,378.25,371.07,373.91,373.91,4919100
2017-09-21,374.9,376.83,364.51,366.48,366.48,4618200
2017-09-22,366.49,369.9,350.88,351.09,351.09,8159400
2017-09-25,353.15,357.47,342.88,344.99,344.99,7605900
2017-09-26,350.93,351.24,340.9,345.25,345.25,7156300
2017-09-27,349.9,351.49,340.5,340.97,340.97,6060300
2017-09-28,339.88,342.75,335.4,339.6,339.6,5319600
2017-09-29,341.86,344.68,338.6,341.1,341.1,5107100
2017-10-02,342.52,343.7,335.51,341.53,341.53,5286800
2017-10-03,335.9,348.55,331.28,348.14,348.14,10153600
2017-10-04,351.25,358.62,349.6,355.01,355.01,8163500
2017-10-05,356.0,357.44,351.35,355.33,355.33,4171700
2017-10-06,353.1,360.1,352.25,356.88,356.88,4297500
2017-10-09,349.65,351.75,342.67,342.94,342.94,7493700
2017-10-10,346.8,355.63,345.53,355.59,355.59,6978500
2017-10-11,353.89,357.6,351.15,354.6,354.6,4500800
2017-10-12,352.95,359.78,352.64,355.68,355.68,4087000
2017-10-13,356.98,358.49,353.68,355.57,355.57,3540500
2017-10-16,353.76,354.48,347.16,350.6,350.6,5375500
2017-10-17,350.91,356.22,350.07,355.75,355.75,3293300
2017-10-18,355.97,363.0,354.13,359.65,359.65,4939100
2017-10-19,355.56,357.15,348.2,351.81,351.81,5061800
2017-10-20,352.69,354.55,344.34,345.1,345.1,4930400
2017-10-23,349.88,349.95,336.25,337.02,337.02,5747300
2017-10-24,338.8,342.8,336.16,337.34,337.34,4491700
2017-10-25,336.7,337.5,323.56,325.84,325.84,8594100
2017-10-26,327.78,330.23,323.2,326.17,326.17,5023500
2017-10-27,319.75,324.59,316.66,320.87,320.87,6979700
2017-10-30,319.18,323.78,317.25,320.08,320.08,4254400
2017-10-31,320.23,331.95,320.18,331.53,331.53,5672300
2017-11-01,332.25,332.61,320.26,321.08,321.08,8457300
2017-11-02,300.13,308.69,292.63,299.26,299.26,19791400
2017-11-03,299.5,306.25,295.13,306.09,306.09,8894000
2017-11-06,307.0,307.5,299.01,302.78,302.78,6486000
2017-11-07,301.02,306.5,300.03,306.05,306.05,5294300
2017-11-08,305.5,306.89,301.3,304.39,304.39,4725300
2017-11-09,302.5,304.46,296.3,302.99,302.99,5447100
2017-11-10,302.5,308.36,301.85,302.99,302.99,4625400
2017-11-13,300.13,316.8,299.11,315.4,315.4,7584900
2017-11-14,315.0,316.35,306.9,308.7,308.7,5676100
2017-11-15,306.01,312.49,301.5,311.3,311.3,5978700
2017-11-16,313.99,318.14,311.3,312.5,312.5,5822100
2017-11-17,325.67,326.67,313.15,315.05,315.05,13735100
2017-11-20,313.79,315.5,304.75,308.74,308.74,8247700
2017-11-21,310.86,318.23,308.71,317.81,317.81,7261300
2017-11-22,316.77,317.42,311.84,312.6,312.6,4917600
2017-11-24,313.79,316.41,311.0,315.55,315.55,3244100
2017-11-27,313.25,317.34,309.51,316.81,316.81,4555900
2017-11-28,316.36,320.0,313.92,317.55,317.55,4949500
2017-11-29,317.3,318.0,301.23,307.54,307.54,8767400
2017-11-30,308.56,310.7,304.54,308.85,308.85,4351600
2017-12-01,305.44,310.32,305.05,306.53,306.53,4292900
2017-12-04,306.5,308.27,300.61,305.2,305.2,5835100
2017-12-05,302.0,308.0,301.0,303.7,303.7,4646500
2017-12-06,300.1,313.39,300.0,313.26,313.26,7195300
2017-12-07,312.0,318.63,311.05,311.24,311.24,4780600
2017-12-08,314.6,316.98,311.26,315.13,315.13,3468500
2017-12-11,314.63,329.01,313.75,328.91,328.91,7938000
2017-12-12,330.45,341.44,330.03,341.03,341.03,8733200
2017-12-13,340.93,344.22,336.5,339.03,339.03,6221500
2017-12-14,341.01,347.44,336.9,337.89,337.89,5799900
2017-12-15,342.04,343.9,335.76,343.45,343.45,6933200
2017-12-18,344.9,346.73,337.58,338.87,338.87,5476200
2017-12-19,340.26,341.49,330.3,331.1,331.1,6825000
2017-12-20,332.69,333.1,325.04,328.98,328.98,5953800
2017-12-21,329.59,333.74,327.21,331.66,331.66,4385200
2017-12-22,329.51,330.92,324.82,325.2,325.2,4215800
2017-12-26,323.83,323.94,316.58,317.29,317.29,4378400
2017-12-27,316.0,317.68,310.75,311.64,311.64,4712100
2017-12-28,311.75,315.82,309.54,315.36,315.36,4316300
2017-12-29,316.18,316.41,310.0,311.35,311.35,3777200
2018-01-02,312.0,322.11,311.0,320.53,320.53,4352200
2018-01-03,321.0,325.25,315.55,317.25,317.25,4521500
2018-01-04,312.87,318.55,305.68,314.62,314.62,9946300
2018-01-05,316.62,317.24,312.0,316.58,316.58,4591200
2018-01-08,316.0,337.02,315.5,336.41,336.41,9859400
2018-01-09,335.16,338.8,327.4,333.69,333.69,7146600
2018-01-10,332.2,337.0,330.0,334.8,334.8,4309900
2018-01-11,335.24,344.81,333.26,337.95,337.95,6645500
2018-01-12,338.63,340.41,333.67,336.22,336.22,4825100
2018-01-16,337.54,345.0,334.8,340.06,340.06,6474300
2018-01-17,340.47,349.0,339.75,347.16,347.16,7103500
2018-01-18,345.67,352.3,343.74,344.57,344.57,5685800
2018-01-19,345.0,350.59,342.6,350.02,350.02,4888300
2018-01-22,349.4,357.83,349.2,351.56,351.56,6210400
2018-01-23,360.0,360.5,351.0,352.79,352.79,5465400
2018-01-24,354.58,354.75,343.52,345.89,345.89,5287500
2018-01-25,348.27,349.2,336.4,337.64,337.64,6740300
2018-01-26,341.5,344.0,335.71,342.85,342.85,4539400
2018-01-29,339.85,350.85,338.28,349.53,349.53,4747100
2018-01-30,345.14,348.27,342.17,345.82,345.82,4717700
2018-01-31,347.51,356.19,345.19,354.31,354.31,6214100
2018-02-01,351.0,359.66,348.63,349.25,349.25,4197700
2018-02-02,348.44,351.95,340.51,343.75,343.75,3704800
2018-02-05,337.97,344.47,333.0,333.13,333.13,4464100
2018-02-06,325.21,336.22,323.5,333.97,333.97,5088400
2018-02-07,338.99,346.0,335.66,345.0,345.0,6969200
2018-02-08,343.31,348.62,314.6,315.23,315.23,10314600
2018-02-09,319.93,320.98,294.76,310.42,310.42,12933700
2018-02-12,316.13,318.08,306.25,315.73,315.73,6227800
2018-02-13,315.02,324.19,312.51,323.66,323.66,4560200
2018-02-14,320.84,326.17,318.52,322.31,322.31,3950700
2018-02-15,324.5,334.12,322.4,334.07,334.07,5912900
2018-02-16,332.5,343.12,331.64,335.49,335.49,5642600
2018-02-20,334.47,340.84,331.5,334.77,334.77,4009400
2018-02-21,336.03,339.69,333.17,333.3,333.3,3219600
2018-02-22,335.53,347.44,334.75,346.17,346.17,6969800
2018-02-23,347.83,354.99,347.1,352.05,352.05,5817400
2018-02-26,353.5,359.0,352.36,357.42,357.42,4340000
2018-02-27,356.25,359.99,350.01,350.99,350.99,4797400
2018-02-28,352.57,355.24,342.22,343.06,343.06,6069700
2018-03-01,345.01,348.67,330.07,330.93,330.93,6885600
2018-03-02,326.98,335.22,322.97,335.12,335.12,5092800
2018-03-05,332.39,337.75,329.29,333.35,333.35,3823800
2018-03-06,333.75,336.37,327.03,328.2,328.2,4285700
2018-03-07,325.44,332.5,321.74,332.3,332.3,5007300
2018-03-08,332.86,333.3,326.27,329.1,329.1,3566200
2018-03-09,324.1,328.49,322.37,327.17,327.17,5506800
2018-03-12,328.61,347.21,326.5,345.51,345.51,8264000
2018-03-13,328.61,347.21,326.5,341.84,341.84,5965800
2018-03-14,336.76,339.81,323.93,326.63,326.63,7967400
2018-03-15,329.38,332.85,321.1,325.6,325.6,6564800
2018-03-16,322.93,327.4,319.07,321.35,321.35,6117300
2018-03-19,316.5,320.75,309.67,313.56,313.56,7484300
2018-03-20,314.87,316.25,308.76,310.55,310.55,4764300
2018-03-21,310.25,322.44,310.19,316.53,316.53,5958400
2018-03-22,313.89,318.82,308.18,309.1,309.1,4939800
2018-03-23,311.25,311.25,300.45,301.54,301.54,6654900
2018-03-26,307.34,307.59,291.36,304.18,304.18,8375200
2018-03-27,304.0,304.27,277.18,279.18,279.18,13872000
2018-03-28,264.58,268.68,252.1,257.78,257.78,21001400
2018-03-29,256.49,270.96,248.21,266.13,266.13,15170700
2018-04-02,256.26,260.33,244.59,252.48,252.48,16114000
2018-04-03,269.82,273.35,254.49,267.53,267.53,18844400
2018-04-04,252.78,288.37,252.0,286.94,286.94,19896700
2018-04-05,289.34,306.26,288.2,305.72,305.72,19121100
2018-04-06,301.0,309.28,295.5,299.3,299.3,13520300
2018-04-09,300.37,309.5,289.21,289.66,289.66,10249800
2018-04-10,298.97,307.1,293.68,304.7,304.7,10989800
2018-04-11,300.74,308.98,299.66,300.93,300.93,7482900
2018-04-12,302.32,303.95,293.68,294.08,294.08,7608800
2018-04-13,303.6,303.95,295.98,300.34,300.34,7327200
2018-04-16,299.0,299.66,289.01,291.21,291.21,6338500
2018-04-17,288.87,292.17,282.51,287.69,287.69,7000000
2018-04-18,291.08,300.24,288.16,293.35,293.35,6557700
2018-04-19,291.08,301.01,288.55,300.08,300.08,6090600
2018-04-20,295.17,299.98,289.75,290.24,290.24,5627900
2018-04-23,291.29,291.62,282.33,283.37,283.37,4893400
2018-04-24,285.0,287.09,278.46,283.46,283.46,5685300
2018-04-25,283.5,285.16,277.25,280.69,280.69,4013600
2018-04-26,278.75,285.79,276.5,285.48,285.48,4356000
2018-04-27,285.37,294.47,283.83,294.08,294.08,4364600
2018-04-30,293.61,298.73,292.5,293.9,293.9,4228200
2018-05-01,293.51,300.82,293.22,299.92,299.92,4625600
2018-05-02,298.57,306.85,297.78,301.15,301.15,8970400
2018-05-03,278.79,288.04,275.23,284.45,284.45,17352100
2018-05-04,283.0,296.86,279.52,294.09,294.09,8569400
2018-05-07,297.5,305.96,295.17,302.77,302.77,8678200
2018-05-08,300.8,307.75,299.0,301.97,301.97,5930000
2018-05-09,300.41,307.01,300.05,306.85,306.85,5727400
2018-05-10,307.5,312.99,304.11,305.02,305.02,5651600
2018-05-11,307.7,308.88,299.08,301.06,301.06,4679600
