Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,16.82,16.9,16.44,16.65,16.65,10503800
2017-09-06,16.65,17.05,16.52,16.83,16.83,12335500
2017-09-07,16.85,17.41,16.83,17.22,17.22,14659900
2017-09-08,17.19,17.46,17.08,17.45,17.45,11608200
2017-09-11,17.47,17.78,17.27,17.66,17.66,14002000
2017-09-12,17.7,18.29,17.7,18.17,18.17,19795400
2017-09-13,18.15,18.49,18.09,18.2,18.2,13710700
2017-09-14,18.15,18.27,17.94,18.21,18.21,9304100
2017-09-15,18.25,18.4,17.95,18.01,18.01,12649400
2017-09-18,18.01,18.09,17.47,17.6,17.6,14710700
2017-09-19,17.66,17.8,17.48,17.76,17.76,7090700
2017-09-20,17.8,17.84,17.51,17.62,17.62,7724700
2017-09-21,17.6,17.65,17.35,17.58,17.58,6952100
2017-09-22,17.49,17.63,17.42,17.61,17.61,5551500
2017-09-25,17.6,17.72,16.82,16.98,16.98,13251700
2017-09-26,17.03,17.16,16.57,16.59,16.59,12933200
2017-09-27,16.9,17.05,16.76,16.95,16.95,9071300
2017-09-28,16.87,16.93,16.75,16.85,16.85,7037200
2017-09-29,16.89,17.04,16.75,16.87,16.87,9384600
2017-10-02,16.8,17.15,16.78,17.09,17.09,8460300
2017-10-03,17.13,17.63,17.12,17.59,17.59,13043700
2017-10-04,17.82,17.82,17.5,17.75,17.75,17353800
2017-10-05,17.8,18.29,17.74,18.25,18.25,21249600
2017-10-06,18.03,18.13,17.66,17.85,17.85,16419000
2017-10-09,17.82,18.05,17.65,17.67,17.67,8814400
2017-10-10,17.77,17.93,17.39,17.41,17.41,10186100
2017-10-11,17.47,17.78,17.43,17.73,17.73,9990900
2017-10-12,17.77,18.66,17.73,18.45,18.45,30723700
2017-10-13,18.45,18.79,18.35,18.63,18.63,15809900
2017-10-16,18.59,18.61,18.23,18.33,18.33,13009300
2017-10-17,18.31,18.47,18.11,18.28,18.28,8935400
2017-10-18,18.23,18.35,17.97,18.02,18.02,7772000
2017-10-19,17.84,17.95,17.65,17.89,17.89,9281300
2017-10-20,17.98,18.06,17.83,17.87,17.87,7257700
2017-10-23,17.94,17.95,17.34,17.37,17.37,14017700
2017-10-24,17.5,17.6,17.23,17.25,17.25,12550400
2017-10-25,17.2,17.41,17.03,17.14,17.14,19766500
2017-10-26,19.22,20.63,18.9,20.31,20.31,112277600
2017-10-27,20.18,21.96,20.15,21.68,21.68,63611100
2017-10-30,21.4,21.78,21.06,21.25,21.25,34019400
2017-10-31,21.26,21.56,20.46,20.62,20.62,28049200
2017-11-01,20.74,20.99,20.4,20.61,20.61,18828800
2017-11-02,20.5,20.63,19.64,19.71,19.71,24475100
2017-11-03,19.87,20.24,19.52,19.9,19.9,22259600
2017-11-06,19.78,19.85,19.26,19.39,19.39,25599300
2017-11-07,19.55,20.18,19.51,19.66,19.66,22238300
2017-11-08,19.7,19.98,19.37,19.59,19.59,16291300
2017-11-09,19.4,20.24,19.36,19.9,19.9,20271000
2017-11-10,19.79,20.58,19.74,20.32,20.32,16293300
2017-11-13,20.16,20.31,19.93,20.17,20.17,11804900
2017-11-14,20.17,20.45,19.88,20.05,20.05,11920100
2017-11-15,19.82,20.33,19.73,19.91,19.91,11191100
2017-11-16,20.06,20.49,19.99,20.36,20.36,12967800
2017-11-17,20.26,20.79,20.25,20.76,20.76,12847000
2017-11-20,20.78,21.26,20.7,21.13,21.13,16819900
2017-11-21,21.2,21.91,21.15,21.88,21.88,18339800
2017-11-22,21.9,22.4,21.8,22.27,22.27,21161800
2017-11-24,22.4,22.48,22.17,22.42,22.42,7584000
2017-11-27,22.36,22.4,21.7,21.82,21.82,19671400
2017-11-28,21.85,22.15,21.56,21.83,21.83,13845600
2017-11-29,21.82,22.11,20.52,20.79,20.79,23684000
2017-11-30,21.01,21.12,20.51,20.58,20.58,15823200
2017-12-01,20.52,20.98,20.12,20.71,20.71,15270800
2017-12-04,20.85,20.94,20.23,20.4,20.4,11639800
2017-12-05,20.3,20.93,20.3,20.77,20.77,10645300
2017-12-06,20.52,21.4,20.4,21.09,21.09,14023500
2017-12-07,21.06,21.45,20.97,21.01,21.01,11856400
2017-12-08,21.15,21.4,20.95,21.1,21.1,14870500
2017-12-11,21.1,22.2,21.1,22.05,22.05,17244400
2017-12-12,21.77,22.25,21.63,21.65,21.65,14296800
2017-12-13,21.77,21.98,21.52,21.66,21.66,17283600
2017-12-14,21.79,23.24,21.62,22.58,22.58,34074300
2017-12-15,22.61,22.86,22.19,22.23,22.23,17957600
2017-12-18,23.23,24.74,23.13,24.68,24.68,48965900
2017-12-19,24.61,25.49,23.92,25.08,25.08,46040800
2017-12-20,25.44,25.44,24.69,25.2,25.2,20687700
2017-12-21,25.06,25.56,24.7,25.05,25.05,19597700
2017-12-22,25.03,25.27,24.38,24.46,24.46,16112900
2017-12-26,24.26,24.57,24.13,24.26,24.26,10123100
2017-12-27,24.26,24.54,24.07,24.23,24.23,9118100
2017-12-28,24.25,24.6,24.17,24.31,24.31,9774700
2017-12-29,24.27,24.33,23.91,24.01,24.01,10393700
2018-01-02,24.07,24.57,23.85,24.51,24.51,15297200
2018-01-03,24.56,24.68,24.07,24.45,24.45,12832600
2018-01-04,24.5,24.59,23.69,23.99,23.99,17653500
2018-01-05,24.07,24.57,23.88,24.32,24.32,14953200
2018-01-08,24.37,24.78,23.88,24.59,24.59,17831300
2018-01-09,24.63,24.71,24.07,24.17,24.17,12587100
2018-01-10,24.0,24.42,23.76,24.25,24.25,10420700
2018-01-11,24.3,24.37,23.9,24.35,24.35,11670400
2018-01-12,24.94,25.85,24.93,25.41,25.41,37046100
2018-01-16,25.58,25.71,24.51,24.66,24.66,32340700
2018-01-17,24.84,24.95,24.22,24.56,24.56,17026700
2018-01-18,24.5,24.52,23.72,24.04,24.04,21118500
2018-01-19,24.12,24.22,23.5,23.66,23.66,17529700
2018-01-22,23.17,23.5,22.86,23.32,23.32,23010600
2018-01-23,22.51,23.17,22.41,22.75,22.75,35321200
2018-01-24,22.84,23.05,22.1,22.37,22.37,23186500
2018-01-25,22.5,22.68,22.04,22.16,22.16,15501700
