Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,103.4,103.46,102.26,103.01,101.67,6337500.0
2017-09-06,103.34,103.75,103.1,103.18,101.83,6372200.0
2017-09-07,103.71,105.44,103.61,104.56,103.2,6508600.0
2017-09-08,104.33,104.77,104.06,104.43,103.07,5787200.0
2017-09-11,105.48,106.15,105.15,106.15,104.76,6956000.0
2017-09-12,106.64,106.64,105.76,106.21,104.82,5212400.0
2017-09-13,106.26,106.26,105.24,105.83,104.45,6215700.0
2017-09-14,105.5,106.84,105.5,106.08,104.7,8154000.0
2017-09-15,105.74,106.14,104.95,105.3,103.93,12622900.0
2017-09-18,105.35,105.52,104.62,104.83,103.46,7330300.0
2017-09-19,105.13,105.93,104.83,105.41,104.03,9754400.0
2017-09-20,105.5,105.77,104.46,104.97,103.6,8198600.0
2017-09-21,105.0,105.61,104.65,105.31,103.94,4777600.0
2017-09-22,105.21,105.68,105.06,105.56,104.18,4959400.0
2017-09-25,105.5,105.65,102.75,103.02,101.68,9395300.0
2017-09-26,103.11,104.02,102.88,102.94,101.6,6263600.0
2017-09-27,103.07,104.12,102.9,103.89,102.53,8337400.0
2017-09-28,103.75,104.98,103.74,104.58,103.22,5947800.0
2017-09-29,104.75,105.43,104.69,105.24,103.87,7676300.0
2017-10-02,105.54,105.99,105.1,105.44,104.06,4885600.0
2017-10-03,105.65,105.9,105.29,105.59,104.21,4411100.0
2017-10-04,105.71,105.74,104.9,105.31,103.94,4146800.0
2017-10-05,105.6,106.25,105.15,106.24,104.85,4396100.0
2017-10-06,106.29,106.96,105.87,106.73,105.34,4587000.0
2017-10-09,106.6,107.65,106.54,107.01,105.61,4787000.0
2017-10-10,107.58,107.6,106.82,107.31,105.91,4015600.0
2017-10-11,107.7,108.59,107.6,108.44,107.03,6473100.0
2017-10-12,108.5,108.71,107.9,108.11,106.7,6496100.0
2017-10-13,108.5,109.26,108.4,108.66,107.24,5154600.0
2017-10-16,108.79,109.05,107.16,108.3,106.89,5552200.0
2017-10-17,108.25,108.42,107.3,107.54,106.14,5979400.0
2017-10-18,107.62,108.0,107.46,107.8,106.39,4817300.0
2017-10-19,107.27,107.78,106.9,107.02,105.62,10840200.0
2017-10-20,107.7,107.7,106.97,107.55,106.15,7848900.0
2017-10-23,108.05,108.23,107.1,107.53,106.13,6316700.0
2017-10-24,107.56,108.64,107.18,108.41,107.0,10511200.0
2017-10-25,109.41,110.61,108.0,109.49,108.06,13261300.0
2017-10-26,110.38,110.74,109.67,109.8,108.37,7380100.0
2017-10-27,110.07,110.13,108.69,109.71,108.28,7862700.0
2017-10-30,109.67,110.24,108.92,110.04,108.6,5148600.0
2017-10-31,110.58,110.69,108.66,109.98,108.54,8002500.0
2017-11-01,110.5,111.4,110.42,111.07,109.62,6167300.0
2017-11-02,111.02,111.37,110.2,110.98,109.53,5506600.0
2017-11-03,110.94,111.42,110.51,111.36,109.91,3757600.0
2017-11-06,111.36,112.15,111.2,111.92,110.46,4094700.0
2017-11-07,112.25,112.47,111.56,112.09,110.63,3697900.0
2017-11-08,112.01,112.91,111.82,112.47,111.0,4417800.0
2017-11-09,111.8,112.22,110.93,112.14,110.68,4334700.0
2017-11-10,111.71,111.98,111.28,111.88,110.42,4198900.0
2017-11-13,111.55,111.86,111.34,111.4,109.95,7185600.0
2017-11-14,111.08,112.04,110.81,111.98,110.52,5679600.0
2017-11-15,111.34,111.87,110.14,110.25,108.81,6895100.0
2017-11-16,110.75,111.44,110.57,111.02,109.77,5655100.0
2017-11-17,110.69,110.91,109.7,109.82,108.58,8812400.0
2017-11-20,109.95,110.68,109.69,109.95,108.71,6873200.0
2017-11-21,110.45,111.49,110.3,111.45,110.19,6456500.0
2017-11-22,111.5,111.66,110.7,110.82,109.57,4067600.0
2017-11-24,111.31,112.16,111.14,111.97,110.7,3045600.0
2017-11-27,112.0,112.54,111.91,112.38,111.11,6620500.0
2017-11-28,112.6,113.62,112.56,113.36,112.08,6671300.0
2017-11-29,113.62,113.62,106.9,109.86,108.62,14505400.0
2017-11-30,110.5,112.59,110.03,112.59,111.32,18533300.0
2017-12-01,112.38,112.44,109.76,110.73,109.48,13101800.0
2017-12-04,111.33,111.45,106.97,107.43,106.22,18909100.0
2017-12-05,108.89,109.24,106.6,108.58,107.35,12081500.0
2017-12-06,108.49,110.17,108.26,109.74,108.5,7532100.0
2017-12-07,109.77,111.41,109.45,111.4,110.14,7384900.0
2017-12-08,112.13,112.61,111.82,112.6,111.33,7594900.0
2017-12-11,112.5,113.35,112.16,112.37,111.1,7538600.0
2017-12-12,112.37,113.73,112.0,113.46,112.18,8754400.0
2017-12-13,113.75,114.37,113.19,113.31,112.03,8088900.0
2017-12-14,113.55,114.09,112.92,112.92,111.64,9815600.0
2017-12-15,113.97,114.2,112.39,113.82,112.53,16388000.0
2017-12-18,114.69,114.75,113.25,113.55,112.27,8961800.0
2017-12-19,113.28,113.28,112.08,112.14,110.87,7899400.0
2017-12-20,112.72,113.1,111.99,112.12,110.85,6201900.0
2017-12-21,112.6,113.1,112.32,112.41,111.14,8866400.0
2017-12-22,112.39,113.11,112.25,112.69,111.42,6190100.0
2017-12-26,112.07,113.44,112.07,112.99,111.71,3948900.0
2017-12-27,112.69,114.07,112.65,114.02,112.73,7073100.0
2017-12-28,114.3,114.92,113.99,114.35,113.06,6937100.0
2017-12-29,114.75,114.89,114.02,114.02,112.73,5249000.0
2018-01-02,114.57,115.08,113.95,114.51,113.22,6080900.0
2018-01-03,114.95,115.79,114.66,115.65,114.34,6946100.0
2018-01-04,116.25,117.36,116.03,116.08,114.77,7805300.0
2018-01-05,116.99,119.0,116.42,118.86,117.52,8590500.0
2018-01-08,118.61,120.48,118.07,119.34,117.99,6660700.0
2018-01-09,119.97,119.97,118.66,119.11,117.76,6562400.0
2018-01-10,118.69,119.05,117.46,118.98,117.64,7490300.0
2018-01-11,118.8,119.98,118.68,119.84,118.49,5982100.0
2018-01-12,120.12,120.35,119.71,120.09,118.73,5585800.0
2018-01-16,121.18,121.94,119.91,120.39,119.03,8803800.0
2018-01-17,121.2,122.16,120.73,121.98,120.6,7991500.0
2018-01-18,122.52,123.2,122.03,123.11,121.72,8661000.0
2018-01-19,123.05,123.65,121.92,122.7,121.31,8250700.0
2018-01-22,122.87,124.33,122.4,124.33,122.93,9355000.0
2018-01-23,124.6,125.51,124.21,124.65,123.24,5683300.0
2018-01-24,125.05,125.45,123.71,124.55,123.14,6425200.0
2018-01-25,125.0,125.47,124.63,125.22,123.81,7166400.0
2018-01-26,125.77,126.38,124.76,126.32,124.89,5604900.0
2018-01-29,126.74,126.88,124.69,124.84,123.43,6257900.0
2018-01-30,123.82,124.29,122.84,123.55,122.15,8154400.0
2018-01-31,123.78,124.48,123.04,124.23,122.83,7338200.0
2018-02-01,124.74,126.26,124.1,125.72,124.3,11169700.0
2018-02-02,123.72,123.72,120.7,120.91,119.54,13937700.0
2018-02-05,118.7,121.13,115.01,116.27,114.96,16623900.0
