Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,869.39,870.55,863.46,863.46,861.46,24900.0
2017-09-06,866.81,869.48,863.0,863.0,861.0,24100.0
2017-09-07,863.14,865.21,859.0,859.0,857.01,21900.0
2017-09-08,859.65,868.0,859.65,864.48,862.48,25900.0
2017-09-11,868.39,873.87,867.16,870.0,867.99,20500.0
2017-09-12,869.91,874.67,869.53,874.66,872.64,21000.0
2017-09-13,872.2,874.87,872.2,872.82,870.8,20600.0
2017-09-14,874.0,874.5,871.6,872.01,869.99,19700.0
2017-09-15,870.45,870.45,856.25,859.7,857.71,85200.0
2017-09-18,862.12,862.12,848.31,849.4,847.43,28000.0
2017-09-19,851.33,852.98,843.0,844.05,842.1,28800.0
2017-09-20,845.95,852.99,839.01,850.87,848.9,30100.0
2017-09-21,850.01,850.93,841.67,844.0,842.05,37200.0
2017-09-22,843.85,850.8,842.01,842.87,840.92,44100.0
2017-09-25,843.56,846.87,838.65,843.82,841.87,26800.0
2017-09-26,844.88,864.19,842.0,859.25,857.26,47100.0
2017-09-27,861.74,861.75,847.67,851.06,849.09,26100.0
2017-09-28,854.86,855.94,846.5,854.8,852.82,10600.0
2017-09-29,852.85,857.71,850.25,857.0,855.02,41300.0
2017-10-02,857.05,865.0,852.97,865.0,863.0,20600.0
2017-10-03,865.97,872.98,862.51,867.26,865.25,23300.0
2017-10-04,865.4,872.19,861.34,861.34,859.35,18700.0
2017-10-05,860.4,869.17,860.4,868.04,866.03,13100.0
2017-10-06,865.9,867.0,862.43,866.86,864.85,10900.0
2017-10-09,863.19,865.05,843.35,857.45,855.47,17300.0
2017-10-10,859.18,867.0,854.47,864.04,862.04,18000.0
2017-10-11,862.24,868.0,858.68,865.04,863.04,11700.0
2017-10-12,858.07,868.0,858.07,867.84,865.83,18300.0
2017-10-13,868.38,874.34,862.44,870.56,868.55,20400.0
2017-10-16,870.9,871.68,865.81,867.48,865.47,11500.0
2017-10-17,866.78,874.49,866.51,873.95,871.93,25900.0
2017-10-18,875.0,883.43,874.99,879.74,877.7,21900.0
2017-10-19,879.87,883.99,875.55,882.98,880.94,9200.0
2017-10-20,884.5,890.94,884.5,888.0,885.94,17800.0
